Age,Gender,Weight (kg),Height (m),Calories_Burned,Fat_Percentage,Daily meals frequency,Calories,Workout_Frequency (days/week)
42.15,Female,60.3,1.74,2097.52,20.866060956213715,2.99,1844.0,5.02
28.23,Male,79.51,1.59,1950.34,32.375722484306486,1.98,2204.0,3.02
53.32,Female,55.68,1.55,814.28,23.802880356141856,2.02,1686.0,3.98
43.07,Male,66.62,1.85,1038.4,20.625549461389365,2.99,1625.0,1.98
26.92,Male,103.9,1.68,1239.43,34.33074085871076,4.01,2877.0,3.03
43.35,Male,82.51,1.95,2206.2,26.181430169818924,4.01,2381.0,5.01
40.03,Female,62.99,1.53,1507.72,28.83336054527089,4.01,1952.0,5.03
41.29,Male,43.56,1.77,792.72,18.550935162257385,2.0,1264.0,3.01
19.32,Male,73.18,1.79,541.2,21.10685278795888,3.0,2062.0,2.98
30.0,Male,51.78,1.74,784.8,24.925648637912527,2.98,1524.0,3.0
51.69,Female,70.91,1.72,1732.08,27.330750246929725,2.99,1946.0,3.0
32.54,Female,62.21,1.63,2400.55,25.792049793569173,3.01,1806.0,5.02
21.87,Female,51.25,1.59,1382.4,24.917111505699467,3.0,1252.0,3.07
45.08,Female,51.38,1.65,1266.05,23.58927482645203,3.0,1430.0,2.0
34.09,Male,66.37,1.62,792.72,26.57930595192323,3.02,1692.0,2.0
58.17,Male,109.07,1.91,1067.38,27.77303969159638,2.99,2768.0,3.0
45.59,Male,48.5,1.64,1352.25,26.83565657002728,3.0,1372.0,4.01
25.05,Female,64.4,1.71,1355.2,21.370673578146025,3.0,1688.0,3.0
37.35,Female,54.63,1.57,1298.08,27.02522771544833,3.01,1576.0,3.0
54.23,Female,50.32,1.61,1806.18,24.75825434838593,2.0,1231.0,1.98
36.43,Male,69.06,1.65,810.32,26.6521134151114,2.01,1920.0,2.99
18.16,Male,73.38,1.55,729.07,32.0880694353723,1.99,1951.0,3.0
47.62,Male,68.77,1.74,1597.07,21.510634310436764,3.02,1807.0,2.98
37.42,Male,102.84,1.89,356.08,30.99245737603172,1.98,2633.0,1.96
32.14,Female,49.31,1.62,1556.3,19.86285138369088,3.02,1346.0,3.0
30.09,Male,61.25,1.55,1405.17,27.795914840801764,2.99,1620.0,2.99
24.35,Male,60.21,1.79,1538.96,19.74443286702576,2.99,1664.0,3.99
55.87,Female,58.91,1.56,1665.97,24.30438665383292,3.01,1689.0,3.99
27.59,Female,86.65,1.76,1160.63,32.37718066224315,3.0,2403.0,3.02
25.12,Male,76.46,1.96,663.3,24.04088273843092,1.99,2041.0,2.99
41.88,Male,76.57,1.97,1095.31,25.522052180732533,4.01,2220.0,2.98
34.01,Female,111.91,1.85,842.4,33.8338844815787,2.0,3011.0,3.97
18.05,Female,126.66,1.67,1927.2,35.0,2.99,3265.0,2.98
31.65,Male,126.44,1.83,1178.18,35.0,2.98,3287.0,3.0
40.05,Female,70.05,1.55,1040.6,30.96431118443072,3.99,1909.0,3.01
42.77,Female,55.56,1.73,1964.09,22.03459272374685,3.02,1440.0,4.98
56.81,Female,81.51,1.86,2590.29,24.35505975682122,3.0,2115.0,5.0
38.21,Male,70.74,1.52,1570.8,27.665167218433474,2.99,1902.0,3.99
55.91,Female,88.72,1.68,1381.66,33.54846201915898,3.01,2334.0,5.0
46.94,Female,40.41,1.76,968.0,16.372166889573982,4.01,1328.0,3.03
25.22,Male,104.98,1.88,1765.85,28.96784777827399,4.0,2867.0,2.98
45.12,Male,89.7,1.81,1977.3,24.79921393602853,4.03,2638.0,5.0
18.85,Female,85.21,1.85,1940.71,27.50205103691949,2.99,2440.0,4.04
52.28,Male,82.15,1.72,979.2,26.239898015868665,3.0,2206.0,4.02
20.31,Female,76.43,1.62,1305.6,29.395578278704896,2.01,2094.0,3.99
35.1,Male,43.89,1.62,689.7,18.700011995703427,1.97,1281.0,2.02
30.19,Female,77.76,1.78,1859.65,26.25514926206454,3.98,2071.0,4.01
55.55,Male,62.72,1.86,993.6,20.48472401946511,2.99,1671.0,3.99
32.61,Female,46.15,1.9,1920.38,15.571617568572533,3.01,1252.0,2.96
22.99,Male,59.04,1.78,2386.26,22.006132703441487,2.0,1637.0,4.98
32.36,Male,84.33,1.74,962.72,28.45389592185136,3.02,2210.0,2.99
29.82,Female,121.23,2.0,903.0,25.89281483291118,3.01,3333.0,3.99
33.47,Male,64.49,1.63,2245.1,22.674511856849705,3.99,1803.0,5.0
32.93,Male,74.13,1.76,827.31,24.36805630843466,4.0,1987.0,4.0
53.67,Male,46.13,1.5,914.11,24.245785745448824,2.0,1343.0,2.0
46.07,Male,59.73,1.65,2386.26,23.46457319606598,3.0,1574.0,3.97
38.86,Male,59.33,1.83,1296.0,18.17478963836032,1.97,1649.0,4.01
18.82,Male,48.82,1.52,634.18,24.23699391402382,3.01,1132.0,2.01
36.06,Male,59.59,1.78,553.39,22.919448604808995,3.01,1603.0,1.98
55.19,Male,70.54,1.62,640.13,28.878120036343265,3.0,2112.0,2.99
55.16,Male,86.69,1.77,951.19,26.43717196851418,2.99,2339.0,3.0
58.37,Female,51.69,1.79,1352.74,19.123150543213058,2.99,1505.0,3.0
51.01,Male,48.81,1.77,975.91,16.307540650728594,2.0,1488.0,2.02
22.25,Male,61.76,1.52,2144.39,23.711457786959848,3.0,1937.0,5.0
49.35,Female,55.38,1.6,2696.46,21.591266031899025,4.0,1699.0,4.98
56.94,Male,122.07,1.88,986.5,35.0,3.01,3114.0,3.01
23.04,Female,79.31,1.73,1925.59,27.99586288268801,3.01,2126.0,4.0
38.73,Male,61.49,1.66,921.54,21.1641633369954,3.01,1700.0,3.0
59.07,Female,41.14,1.65,811.06,19.5595514518067,3.0,1258.0,1.98
50.87,Female,49.82,1.61,896.78,21.15121911307765,2.01,1262.0,1.98
39.92,Female,57.36,1.71,1457.48,20.46908792402956,1.98,1735.0,4.97
32.99,Male,46.09,1.89,1044.0,16.391027432006762,3.01,1438.0,3.05
57.41,Male,108.85,1.91,1983.3,28.64542291177429,2.99,2706.0,2.98
57.39,Male,75.84,1.67,1007.16,25.35652470365937,3.0,2144.0,3.04
50.06,Female,56.07,1.6,1467.53,27.76520521079724,4.01,1735.0,5.01
39.67,Female,76.94,1.92,811.57,24.905416833904976,2.98,2287.0,4.0
23.37,Male,60.61,1.59,2570.04,26.55356371904741,3.02,1617.0,3.97
47.27,Male,97.6,1.9,741.15,28.45905960557885,3.0,2617.0,3.03
49.94,Male,51.05,1.69,870.41,22.160844204374545,1.99,1432.0,1.99
48.16,Male,128.37,1.61,1144.8,35.0,2.99,3453.0,4.0
40.98,Female,44.1,1.77,1175.96,15.062744977667531,1.99,1179.0,3.02
45.22,Female,52.36,1.88,1413.58,14.04663679462639,2.99,1702.0,4.01
19.8,Male,76.05,1.77,1532.32,26.302497501164986,3.98,2065.0,4.0
35.68,Female,47.75,1.68,1075.55,20.16362568976236,1.99,1268.0,3.01
38.96,Female,101.99,1.94,587.4,27.19967077493434,3.01,2700.0,3.01
31.94,Female,86.24,1.6,2851.2,35.0,2.98,2540.0,5.01
22.09,Female,70.57,1.77,1317.6,24.417063017665548,1.98,2138.0,3.0
30.51,Female,77.23,1.77,1016.89,24.2018822785929,4.0,2151.0,4.01
42.19,Female,45.09,1.6,1268.26,23.57879259529199,2.99,1300.0,2.99
41.42,Female,81.32,1.87,2669.99,24.425590375940928,3.0,2165.0,5.01
52.04,Male,105.02,1.99,817.66,27.872821484426847,3.0,2536.0,1.99
36.73,Female,73.46,1.76,879.13,27.512982951891463,2.0,2147.0,3.0
38.95,Male,58.99,1.93,1456.78,16.444944404035745,2.99,1689.0,4.01
22.85,Female,86.85,1.91,1465.27,25.229482337918057,1.99,2433.0,4.97
21.15,Male,89.27,1.6,1779.77,34.950296270123324,3.0,2414.0,3.98
42.05,Male,57.48,1.57,1427.4,25.15392984369169,3.01,1683.0,4.0
44.91,Female,59.04,1.51,1243.04,28.224476533187666,3.0,1608.0,4.02
51.77,Female,86.0,1.8,1985.94,29.21606896689808,2.97,2402.0,5.0
36.56,Female,76.44,1.77,1793.7,25.57677499387323,2.98,1962.0,3.98
31.07,Male,53.08,1.76,1161.6,21.673249961479044,2.0,1545.0,3.98
45.59,Male,108.62,1.64,1386.0,35.0,3.99,2996.0,2.99
52.8,Female,94.04,1.95,1065.77,27.694372700593,2.99,2542.0,3.01
29.92,Female,60.26,1.55,1716.0,25.492548579175125,2.99,1587.0,3.0
20.72,Female,100.38,1.84,1298.08,32.0444410915968,3.01,2677.0,1.97
28.6,Female,87.41,1.86,1579.58,27.503049695718595,3.01,2358.0,4.03
31.96,Female,84.31,1.74,1436.8,30.83901313512696,3.01,2360.0,2.99
30.87,Female,48.74,1.51,1292.42,25.24861104494097,3.01,1307.0,2.01
26.16,Female,110.74,1.9,1018.77,33.153322729012665,1.99,2868.0,1.99
31.98,Female,84.22,1.74,1754.5,28.970297857336003,2.98,2329.0,2.96
23.26,Male,44.19,1.62,689.07,21.87566778349083,3.0,1055.0,1.98
49.23,Female,70.3,1.67,1137.4,24.32365811741768,3.01,1925.0,3.01
28.28,Male,85.11,1.79,1777.54,27.772721291058048,1.98,2321.0,4.01
21.93,Female,61.58,1.52,2144.39,26.103971435941105,3.0,1779.0,4.99
25.34,Male,40.94,1.67,733.79,17.719549964688245,3.0,907.0,3.01
50.67,Male,48.56,1.77,1293.6,15.487096150913986,2.0,1282.0,2.02
22.79,Male,57.48,1.71,820.8,19.465692660719107,3.01,1722.0,2.99
49.15,Male,60.97,1.87,826.62,23.131251290830225,2.0,1590.0,4.0
46.31,Male,109.01,1.64,1234.24,35.0,4.0,2842.0,3.02
23.07,Male,116.79,1.79,957.6,35.0,2.03,2931.0,3.99
51.09,Male,48.78,1.77,961.85,17.493005125489216,2.01,1261.0,1.98
32.12,Male,67.93,1.92,1425.6,21.81795731119933,4.0,1931.0,1.98
18.85,Female,72.3,1.75,864.0,26.521335789744164,1.98,2047.0,4.0
43.27,Female,54.42,1.72,1348.64,23.161699668619423,3.0,1376.0,4.01
34.09,Female,53.6,1.52,753.08,29.764439562461096,2.99,1674.0,2.97
28.36,Female,55.86,1.5,2774.2,26.6656669866255,3.0,1664.0,5.04
40.35,Male,56.65,1.78,2082.6,21.919897070219648,3.0,1528.0,5.01
51.89,Female,50.02,1.78,1026.63,21.189398021809364,3.01,1367.0,1.99
40.62,Female,66.86,1.69,507.28,24.98047151589916,3.0,1721.0,1.98
39.74,Male,72.14,1.6,573.68,28.89200445177726,4.01,1944.0,3.0
43.71,Female,69.37,1.75,679.18,29.18422975150993,3.0,1951.0,3.02
25.9,Female,74.05,1.66,799.34,26.782571691431738,2.99,2033.0,2.02
50.94,Male,109.44,1.78,652.81,35.0,2.99,2858.0,3.01
45.73,Female,60.19,1.68,1253.84,24.318119935022096,1.99,1578.0,3.99
19.98,Female,55.0,1.6,1073.41,26.646534667443163,3.0,1656.0,4.02
41.88,Male,48.48,1.5,1516.74,17.83528273948745,3.02,1233.0,3.0
28.67,Male,86.07,1.65,1293.8,34.43070922440004,3.0,2350.0,4.02
29.87,Female,121.88,2.0,892.06,30.755784116678274,3.0,3268.0,3.98
38.85,Male,61.16,1.64,837.52,23.124011311766985,3.01,1680.0,2.99
19.09,Male,56.9,1.87,545.1,21.70953490008243,2.99,1640.0,3.01
47.01,Female,62.16,1.54,2797.08,31.053067819704,3.0,1863.0,4.0
54.01,Female,83.77,1.86,1200.28,27.53436243104433,1.99,2501.0,5.01
31.28,Male,63.39,1.8,518.26,22.70125690224533,1.97,1759.0,2.01
29.49,Female,87.73,1.93,1943.3,26.96373033660896,2.98,2645.0,5.0
46.98,Male,89.79,1.84,1914.0,28.232971631065062,3.03,2281.0,3.02
56.9,Female,80.95,1.86,1880.95,26.71281667791624,3.0,2227.0,4.97
28.88,Female,85.93,1.65,1301.6,30.98802213969128,3.01,2531.0,4.01
21.92,Female,57.29,1.72,960.0,19.48440390526357,3.99,1663.0,2.98
37.43,Female,77.09,1.82,1598.4,24.79724155351227,3.0,2216.0,3.99
47.07,Male,66.84,1.75,1490.36,23.43837005949752,4.0,1661.0,3.01
20.03,Female,63.44,1.78,1766.64,18.11568096013336,2.0,1791.0,3.99
31.34,Female,64.91,1.62,573.16,27.06158881809129,2.0,1823.0,1.99
46.78,Male,79.36,1.77,481.8,24.82599158869957,3.99,2020.0,3.01
40.85,Male,78.49,1.72,961.6,27.62351736941911,4.0,2132.0,3.95
24.14,Male,59.48,1.5,903.0,29.64615287567391,4.01,1696.0,3.0
42.82,Male,113.21,1.83,1557.79,31.842434787751493,3.03,2897.0,4.01
57.95,Male,50.39,1.67,1499.95,23.73894992232309,3.0,1465.0,4.01
43.79,Female,77.36,1.79,1386.0,28.64744368787273,1.98,2144.0,3.02
52.07,Female,71.11,1.58,741.6,30.554524493751924,3.01,2075.0,2.99
42.85,Female,65.91,1.83,1206.58,21.152319420193567,2.98,1722.0,3.03
23.13,Female,106.75,1.94,898.42,30.74903295062888,3.02,2658.0,2.01
58.08,Female,75.8,1.78,1134.0,24.987259485934977,3.0,2104.0,3.98
59.23,Female,55.0,1.57,574.2,24.59493624931439,3.0,1515.0,3.02
41.17,Male,62.12,1.64,1499.9,21.63789549095381,1.99,1791.0,4.0
54.12,Male,55.19,1.71,685.78,20.232240885098,2.0,1574.0,2.0
37.62,Male,76.51,1.58,734.6,30.487610626951348,3.97,1934.0,2.0
54.95,Male,129.82,1.73,672.59,35.0,4.02,3438.0,2.99
49.71,Male,57.21,1.6,2214.7,23.780084216425987,4.0,1635.0,4.99
36.0,Female,55.99,1.95,1152.71,15.611242298388463,3.01,1595.0,3.98
41.75,Male,71.82,1.69,1412.4,26.896851186465188,3.0,1854.0,3.0
52.06,Male,79.69,1.59,998.3,30.37583006171512,2.99,2154.0,3.01
53.88,Female,69.62,1.52,666.98,34.46061060689429,3.01,1773.0,2.02
24.0,Male,72.44,1.76,1050.79,25.48236732174039,1.99,1970.0,2.99
18.1,Male,64.87,1.55,1524.07,27.99183126131786,1.97,1837.0,3.0
25.21,Male,57.66,1.58,972.0,23.256832440629296,2.98,1522.0,3.01
59.04,Male,85.96,1.67,1543.21,32.62717174146524,1.98,2359.0,5.0
35.73,Male,90.2,1.65,999.13,32.81620436174729,3.01,2744.0,3.97
58.54,Female,59.73,1.76,2024.1,20.50905375600372,3.02,1701.0,5.0
24.98,Female,62.26,1.64,1190.16,25.69841214595207,4.01,1830.0,3.02
20.71,Female,50.44,1.53,1306.8,26.28065807789384,4.0,1322.0,2.99
31.18,Female,61.1,1.76,2119.33,21.467697287671395,3.01,1766.0,3.99
30.96,Female,60.31,1.76,1409.63,22.058372377387503,3.02,1646.0,4.02
32.77,Female,78.01,1.71,714.1,25.47642819999477,2.0,2132.0,3.03
40.01,Female,93.4,1.93,1364.96,28.004124259801127,2.01,2562.0,3.01
34.26,Female,64.6,1.62,1363.95,27.428030744398846,2.98,1937.0,5.0
46.04,Female,58.37,1.53,1903.2,25.062672896754584,1.99,1699.0,4.0
36.25,Male,100.15,1.99,870.41,27.62668989433338,3.0,2438.0,2.97
46.71,Female,49.81,1.69,1419.62,21.467977679349115,2.02,1489.0,2.99
33.42,Female,53.23,1.52,1231.96,29.071118287021008,2.0,1430.0,2.0
48.17,Male,87.27,1.76,1882.4,28.179046222666305,3.0,2539.0,5.0
46.89,Female,127.97,1.65,686.4,35.0,3.01,3256.0,2.0
43.12,Female,61.54,1.58,1955.2,25.54627199237792,4.01,1730.0,4.98
28.94,Female,58.86,1.61,1572.11,24.42753648304868,1.98,1653.0,3.01
41.25,Male,94.19,2.0,1441.21,26.344119815617727,3.0,2650.0,3.0
55.03,Male,117.69,1.72,667.58,35.0,2.99,3159.0,2.99
32.94,Male,58.21,1.67,801.53,21.843888492371534,2.01,1647.0,3.0
19.43,Male,73.14,1.79,528.48,22.33288704711336,3.0,2012.0,2.98
55.58,Male,90.55,1.61,999.97,33.41867906231963,3.02,2494.0,2.98
40.99,Female,55.17,1.55,1914.0,27.94182069768826,2.03,1574.0,4.0
49.83,Male,96.19,1.72,1056.64,32.96468235151168,3.0,2767.0,3.01
29.05,Male,68.77,1.72,786.11,23.492149107770583,2.0,2020.0,4.0
21.99,Male,55.08,1.62,1899.77,22.8261403981804,4.02,1724.0,4.0
31.25,Female,70.49,1.98,475.2,24.441787049046404,4.01,1666.0,2.02
44.0,Male,47.68,1.76,781.06,17.867922620470317,2.0,1365.0,1.99
50.85,Male,54.48,1.53,1188.99,25.06865657115728,2.98,1594.0,4.01
18.0,Male,68.33,1.8,786.11,22.38317362803221,3.0,1989.0,4.03
36.39,Male,122.12,1.93,1072.8,35.0,3.0,3360.0,3.0
26.86,Male,77.07,1.7,1161.6,31.33602698378082,3.02,2107.0,2.98
58.92,Female,65.25,1.52,1351.34,27.862389643741523,2.98,1727.0,2.98
41.97,Female,98.2,1.91,979.2,26.041888980638056,3.02,2710.0,3.02
18.78,Male,73.44,1.79,968.88,27.964145620142165,2.99,1916.0,2.96
38.01,Male,77.35,1.58,487.51,34.869316795571734,3.98,2140.0,2.02
52.9,Male,61.48,1.64,653.4,27.03500822559418,3.0,1722.0,2.99
36.35,Female,47.86,1.68,1474.86,18.74507247138036,2.01,1356.0,2.98
52.27,Male,58.16,1.56,1716.0,24.85849555059085,3.02,1688.0,4.06
45.2,Male,89.95,1.81,1334.83,29.42943241401285,3.97,2547.0,5.01
42.1,Male,69.23,1.87,1502.45,22.79964789021262,2.98,1895.0,3.04
42.03,Male,97.87,1.91,1321.1,29.34973224355252,3.0,2509.0,2.99
23.44,Male,121.36,1.85,633.02,35.0,1.99,3318.0,2.01
55.76,Male,129.43,1.95,887.18,34.86722876097884,4.01,3472.0,1.97
45.22,Male,57.29,1.72,1752.67,18.008997333189793,1.98,1674.0,4.02
19.01,Male,56.98,1.87,535.82,20.343181095863496,3.01,1630.0,2.96
24.89,Female,81.57,1.61,2008.74,29.670715469009,3.98,2348.0,3.98
59.34,Male,60.3,1.76,2455.82,19.266207099180903,3.0,1743.0,5.02
44.31,Female,65.65,1.8,885.71,21.63837297882685,3.01,1843.0,2.0
48.05,Female,94.73,1.7,726.59,33.89602972504432,3.0,2556.0,3.02
56.7,Male,67.52,1.58,1752.9,26.214501199339104,3.99,1702.0,2.0
34.31,Male,87.95,1.64,2226.42,30.744874579232587,3.0,2263.0,3.98
53.86,Male,77.78,1.9,722.26,26.79735212488693,4.0,2242.0,2.02
27.73,Female,79.1,1.59,1607.86,31.17038849885767,2.02,2127.0,2.99
53.11,Male,64.46,1.55,2081.0,25.57969985259872,2.0,1847.0,4.01
39.43,Male,57.97,1.56,738.1,24.49715555295945,3.0,1543.0,2.01
26.29,Male,63.74,1.49,2755.65,28.72668701127923,2.99,1868.0,5.0
53.87,Male,117.82,1.62,1365.94,35.0,2.99,3223.0,4.0
22.01,Female,48.05,1.76,1483.3,22.888373029903896,3.0,1447.0,3.99
46.93,Female,88.81,1.6,1924.0,34.46993618328025,2.97,2565.0,5.02
22.95,Male,82.83,1.8,469.03,26.59534197037616,3.0,2253.0,2.98
31.12,Male,57.33,1.56,1869.12,23.63220668603824,3.0,1678.0,5.02
30.84,Female,78.05,1.71,1661.81,26.652468251006407,2.01,2178.0,4.0
30.69,Male,86.7,1.69,1775.66,32.71086060857963,3.01,2405.0,3.98
47.17,Male,42.21,1.58,1113.33,21.492502868320035,2.02,1372.0,3.99
42.17,Male,73.19,1.63,457.18,26.01402420471341,2.99,1982.0,3.01
54.12,Male,70.02,1.52,660.0,29.238725702917183,3.0,1903.0,1.99
32.26,Male,56.75,1.53,1913.6,25.285468521905933,3.98,1690.0,5.0
49.27,Female,69.81,1.89,469.03,20.026987765700603,4.01,2169.0,3.02
41.85,Male,55.93,1.53,932.8,24.80080163083129,2.0,1538.0,3.0
36.2,Male,55.69,1.94,1046.4,17.47736954009812,3.0,1701.0,4.03
36.52,Female,109.51,1.62,731.06,35.0,1.99,2933.0,3.01
18.06,Male,68.39,1.8,1073.41,24.045998177050848,3.0,1875.0,4.0
20.89,Female,55.18,1.78,484.0,22.107564947570488,3.02,1470.0,2.01
25.31,Male,59.6,1.51,1895.4,26.917471331266384,4.03,1834.0,5.01
51.75,Female,47.53,1.54,1770.27,20.757821046704866,2.99,1330.0,3.02
19.78,Female,71.66,1.58,1018.45,29.40269838572698,3.0,1978.0,2.96
45.04,Male,48.14,1.64,1197.0,19.17190054703472,3.02,1301.0,3.99
46.93,Female,66.86,1.74,828.0,24.14996468859432,4.01,1894.0,2.98
28.88,Female,57.2,1.77,663.3,17.879010566824586,3.0,1593.0,3.01
43.28,Female,81.05,1.78,1839.73,25.231536738709632,2.0,2144.0,5.06
19.13,Female,72.08,1.94,841.7,20.62433357841366,3.01,1832.0,3.0
29.14,Female,53.9,1.52,975.91,20.968700698865543,3.01,1738.0,3.0
21.27,Female,111.51,1.69,1050.35,35.0,2.99,3013.0,3.02
38.18,Female,46.95,1.79,772.99,19.89239324878455,3.0,1210.0,3.02
48.78,Male,81.64,1.95,2717.0,24.77229613729648,3.0,2376.0,5.0
42.98,Male,43.92,1.66,893.77,15.559338879098403,3.01,1097.0,2.0
37.01,Female,74.74,1.82,887.81,26.74186886323672,3.0,2057.0,3.98
